mode,seq_len,batch_size,cold_start_ms,steady_latency_ms,tokens_per_sec,speedup_vs_eager
default,128,1,28087.32,9.6062,13532.89,2.146
default,128,8,28671.46,34.0731,30522.62,1.366
default,512,1,28422.87,19.8313,25918.63,1.3
default,512,8,29411.97,138.6865,29649.61,1.628
reduce-overhead,128,1,28472.09,9.3655,13880.73,2.202
reduce-overhead,128,8,28325.3,33.7848,30783.04,1.378
reduce-overhead,512,1,27937.14,19.8815,25853.22,1.296
reduce-overhead,512,8,27799.28,137.7111,29859.61,1.639
